program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Mortgages,Value of Mortgage Originations,2021,2951000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2022,2685000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2023,2705000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2024,2680000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2025,2652000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2026,2647000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2027,2724000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2028,2841000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2029,2986000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2030,3146000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Mortgage Originations,2031,3324000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2021,1535000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2022,1289000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2023,1217000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2024,1206000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2025,1193000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2026,1191000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2027,1226000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2028,1279000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2029,1343000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2030,1416000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Value of Annual Loans,2031,1496000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2022,5900.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2023,5600.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2024,6200.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2025,6800.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2026,7300.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2027,7500.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2028,7600.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2029,7700.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2030,8000.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costsa,2031,8400.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Cash Receiptsb,2021,-4700.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2021,52.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2022,48.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2023,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2024,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2025,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2026,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2027,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2028,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2029,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2030,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Share of Originations (Percent),2031,45.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2022,0.46,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2023,0.46,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2024,0.52,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2025,0.57,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2026,0.61,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2027,0.62,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2028,0.6,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2029,0.57,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2030,0.56,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2031,0.56,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2021,-9912.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2022,-11988.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2023,-11918.999999999998,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2024,-11250.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2025,-6200.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2026,-6460.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2027,-6640.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2028,-6920.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2029,-7280.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2030,-7660.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Costs,2031,-8100.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Subsidy Rate (Percent),2021,-3.36,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2021,-1960.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2022,-1730.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2023,-1650.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2024,-1650.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2025,-1700.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2026,-1700.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2027,-1750.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2028,-1760.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
Mortgages,Annual Subsidy Receipts,2029,-1830.0,"Millions of dollars, by fiscal year",51297-2021-02-mortgages.xlsx,Mortgage Progs_2-2021,false
