program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Militaryretirement,Budget Authority,2023,74400.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2024,79600.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2025,83300.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2026,86200.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2027,88800.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2028,91200.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2029,93600.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2030,96200.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2032,101700.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Budget Authority,2033,104400.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2023,74000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2024,73900.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2025,83000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2026,86000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2027,88600.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2028,97000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2029,87400.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2030,96000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2032,101500.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Estimated Outlays,2033,111200.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2023,73800.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2024,79200.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2025,83000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2026,86000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2027,88600.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2028,91000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2029,93400.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2030,96000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2032,101500.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Excluding Effects of Payday Shift,2033,104200.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2023,200.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2024,-5300.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2025,0.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2026,0.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2027,0.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2028,6000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2029,-6000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2030,0.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2032,0.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
Militaryretirement,Adjustment for Payday Shifta,2033,7000.0,"By Fiscal Year, Billions of Dollars",51303-2023-05-militaryretirement.xlsx,Mil Retirement_05-2023,false
