program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Veteransbenefit,Number (Thousands),2020,5102.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2021,5251.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2022,5386.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2023,5502.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2024,5590.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2025,5666.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2026,5724.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2027,5781.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2028,5836.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2029,5890.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2030,5943.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2020,18436.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2021,18882.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2022,19155.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2023,19569.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2024,20216.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2025,20641.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2026,21126.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2027,21613.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2028,22098.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2029,22576.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Average Annual Benefit (Dollars),2030,23078.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2020,94057.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2021,99149.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2022,103178.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2023,107677.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2024,113017.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2025,116943.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2026,120924.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2027,124940.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2028,128973.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2029,132985.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars),2030,137157.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2020,0.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2021,0.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2022,8598.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2023,825.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2024,-9423.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2025,0.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2026,0.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2027,0.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2028,10748.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2029,-10748.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,(Millions of dollars)a,2030,0.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Compensation,false
Veteransbenefit,Number (Thousands),2020,228.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2021,217.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2022,207.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2023,198.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2024,188.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2025,180.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2026,171.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2027,163.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2028,156.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2029,149.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Number (Thousands),2030,142.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2020,13107.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2021,13332.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2022,13672.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2023,14053.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2024,14359.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2025,14732.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2026,15074.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2027,15421.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2028,15763.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2029,17050.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,Average Annual Benefit (Dollars),2030,17521.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
Veteransbenefit,(Millions of dollars),2020,2988.0,Average Annual Benefit (Dollars),53725-2020-01-veteransbenefit.xlsx,Veterans Pensions,false
