program,category,fiscal_year,value,unit,source_file,source_sheet,is_total
Socialsecurity,Estimated Outlays for Benefits,2023,1192.1,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2024,1289.8,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2025,1374.5,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2026,1459.1,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2027,1543.0,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2028,1635.1,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2029,1726.9,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2030,1821.9,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2031,1919.6,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2032,2019.1,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2033,2120.1,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Estimated Outlays for Benefits,2034,2222.8,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2023,998.4,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2024,1086.3,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2025,1164.2,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2026,1242.3,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2027,1320.3,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2028,1406.2,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2029,1491.7,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2030,1580.0,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2031,1671.0,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2032,1763.2,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2033,1856.3,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Retired workers,2034,1950.3,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Wives and husbands,2023,35.3,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
Socialsecurity,Wives and husbands,2024,36.9,"Billions of dollars, by fiscal year",51308-2024-02-socialsecurity.xlsx,OASI_02-2024,false
